t_ms,vrms_raw,irmsa_raw,irmsb_raw,awatt_raw,avar_raw,ava_raw,aenergy_raw,pf_raw,period_raw,vpeak_raw,iapeak_raw
156068,6675918,2189224,1773,862322,-38335,870882,36772,-32453,3728,4686985,1918826
156168,6675614,2189245,1773,862226,-38309,870844,0,-32449,3729,4687522,1918107
156268,6677682,2189494,1773,862640,-38334,871214,0,-32452,3729,4690511,1921000
156368,6675086,2188978,1773,862157,-38356,870676,0,-32453,3729,4686568,1916574
156468,6675392,2189229,1773,862053,-38314,870827,0,-32444,3729,4687171,1919735
156568,6673310,2188736,1773,861835,-38333,870346,0,-32454,3728,4685916,1916571
156668,6673160,2188959,1773,861762,-38323,870415,0,-32449,3729,4686061,1920594
156768,6671394,2188526,1773,861449,-38289,869979,0,-32452,3728,4685729,1925619
156868,6669625,2188238,1773,861047,-38264,869686,0,-32448,3728,4682759,1919726
156968,6671709,2188571,1773,861476,-38314,870068,0,-32451,3730,4689916,1919084
157068,6670302,2188328,1773,861120,-38208,869807,36774,-32447,3729,4684121,1915372
157168,6670675,2188252,1773,861284,-38208,869815,0,-32453,3729,4684126,1911886
157268,6672041,2188670,1773,861499,-38216,870160,0,-32448,3728,4684846,1924903
157368,6672995,2188569,1773,861624,-38242,870239,0,-32451,3729,4686199,1921422
157468,6672310,2188610,1773,861495,-38165,870180,0,-32447,3729,4688164,1918522
157568,6673736,2188841,1773,861766,-38322,870453,0,-32447,3729,4686345,1921569
157668,6674486,2188800,1773,861821,-38316,870537,0,-32446,3729,4685688,1919596
157768,6673989,2188629,1773,861828,-38310,870394,0,-32452,3729,4685690,1915605
157868,6670074,2188211,1773,861045,-38141,869732,0,-32447,3728,4684196,1919728
157968,6672294,2188489,1773,861470,-38197,870125,0,-32449,3729,4684167,1924674
158068,6671692,2188365,1773,861401,-38108,869957,36762,-32451,3728,4686509,1920363
158168,6669099,2187956,1773,860891,-38060,869496,0,-32449,3729,4682741,1929069
158268,6667053,2187601,1773,860532,-38046,869085,0,-32451,3729,4684829,1918252
158368,6668658,2187874,1773,860844,-38027,869404,0,-32451,3729,4684092,1920730
158468,6669692,2188237,1773,860912,-38042,869693,0,-32443,3729,4686448,1919789
158568,6669995,2188225,1773,861035,-38058,869720,0,-32447,3729,4685850,1924136
158668,6668753,2187699,1773,860862,-37990,869307,0,-32455,3728,4686767,1921037
158768,6668086,2187750,1773,860622,-37961,869289,0,-32447,3729,4684547,1926452
158868,6668351,2187676,1773,860742,-38045,869284,0,-32452,3729,4684592,1922358
158968,6669662,2188128,1773,860914,-37992,869641,0,-32445,3729,4686910,1915678
159068,6668197,2187507,1773,860771,-37913,869191,36734,-32456,3729,4685848,1916388
159168,6668405,2187749,1773,860734,-38046,869319,0,-32451,3730,4684854,1914656
159268,6670067,2188338,1773,860957,-37976,869781,0,-32442,3729,4686742,1920373
159368,6671642,2188325,1773,861342,-37913,869962,0,-32449,3729,4687929,1918846
159468,6671744,2188210,1773,861430,-37956,869939,0,-32453,3729,4689402,1917140
159568,6670357,2187924,1773,861107,-38039,869648,0,-32452,3729,4686939,1920410
