t_ms,vrms_raw,irmsa_raw,irmsb_raw,awatt_raw,avar_raw,ava_raw,aenergy_raw,pf_raw,period_raw,vpeak_raw,iapeak_raw
262468,6664901,2189269,1773,860465,-38384,869531,0,-32439,3730,4671673,1891131
262568,6668666,2189708,1773,861341,-38481,870142,0,-32448,3731,4674833,1887780
262668,6667367,2189502,1773,861109,-38504,869921,0,-32448,3730,4675545,1889776
262768,6666035,2189357,1773,860784,-38477,869704,0,-32444,3730,4672168,1892296
262868,6667250,2189508,1773,861074,-38408,869926,0,-32446,3730,4674945,1888911
262968,6666466,2189357,1773,860910,-38457,869770,0,-32447,3730,4673101,1897413
263068,6667092,2189453,1773,860965,-38527,869904,0,-32444,3730,4672678,1893322
263168,6665864,2189199,1773,860706,-38572,869660,36747,-32443,3731,4673747,1890163
263268,6667153,2189511,1773,860939,-38562,869943,0,-32440,3730,4674527,1890045
263368,6665433,2189014,1773,860683,-38589,869519,0,-32447,3731,4671735,1890210
263468,6665636,2189239,1773,860668,-38554,869650,0,-32441,3730,4671076,1891352
263568,6664234,2188796,1773,860447,-38566,869295,0,-32446,3730,4671886,1888807
263668,6666866,2189506,1773,860869,-38616,869936,0,-32440,3731,4673156,1885042
263768,6667660,2189645,1773,861026,-38612,870109,0,-32439,3730,4675600,1887592
263868,6665627,2189214,1773,860661,-38582,869659,0,-32441,3730,4672634,1888602
263968,6665414,2188851,1773,860666,-38597,869485,0,-32447,3730,4673135,1892899
264068,6663614,2188868,1773,860275,-38617,869278,0,-32440,3731,4669541,1885584
264168,6666111,2189364,1773,860752,-38551,869817,36745,-32438,3730,4674347,1887140
264268,6666791,2189321,1773,860872,-38537,869898,0,-32441,3731,4674415,1887281
264368,6665249,2188972,1773,860642,-38599,869562,0,-32444,3731,4672916,1881118
264468,6665505,2189207,1773,860576,-38613,869694,0,-32436,3730,4671388,1885187
264568,6665593,2189134,1773,860686,-38600,869680,0,-32440,3731,4672403,1881200
264668,6665674,2189280,1773,860773,-38641,869750,0,-32441,3731,4672455,1890181
264768,6664458,2189263,1773,860387,-38510,869611,0,-32431,3731,4671965,1887213
264868,6666173,2189582,1773,860818,-38663,869968,0,-32435,3730,4674318,1884627
264968,6667224,2189663,1773,861008,-38689,870147,0,-32435,3730,4674384,1884691
265068,6667197,2189535,1773,860982,-38681,870107,0,-32435,3729,4674040,1888377
265168,6665321,2189294,1773,860714,-38656,869758,36745,-32437,3731,4672798,1891178
265268,6662709,2188980,1773,860100,-38626,869303,0,-32431,3730,4672386,1892203
265368,6662785,2188892,1773,860255,-38496,869277,0,-32437,3729,4675715,1891810
265468,6662670,2188910,1773,860158,-38402,869284,0,-32433,3730,4673347,1891212
265568,6662605,2188930,1773,860162,-38438,869288,0,-32434,3731,4672912,1886987
265668,6661164,2188714,1773,859905,-38414,869034,0,-32433,3730,4675041,1886960
265768,6661545,2188836,1773,860020,-38439,869125,0,-32434,3730,4673613,1887404
265868,6659671,2188440,1773,859714,-38474,868711,0,-32437,3731,4672406,1885991
265968,6658085,2188084,1773,859350,-38443,868383,0,-32435,3731,4675324,1885281
266068,6659156,2188206,1773,859604,-38397,868570,0,-32438,3730,4674212,1883246
266168,6659904,2188620,1773,859643,-38438,868856,36712,-32429,3730,4671399,1887098
266268,6659117,2188259,1773,859559,-38435,868612,0,-32435,3730,4670584,1890304
266368,6660998,2188736,1773,859881,-38434,869057,0,-32430,3730,4673510,1890484
266468,6659334,2188178,1773,859645,-38426,868599,0,-32437,3730,4674210,1890138
266568,6660770,2188615,1773,859777,-38511,868975,0,-32428,3729,4672430,1889779
266668,6660129,2188538,1773,859678,-38503,868879,0,-32427,3730,4672972,1894818
266768,6662055,2188846,1773,860069,-38493,869256,0,-32429,3729,4674654,1889619
266868,6660934,2188577,1773,859875,-38421,869009,0,-32430,3730,4677041,1898980
266968,6658288,2188084,1773,859366,-38372,868475,0,-32431,3731,4675496,1889502
267068,6659417,2188163,1773,859600,-38396,868646,0,-32433,3730,4675067,1881071
267168,6658672,2188317,1773,859348,-38372,868622,36698,-32424,3730,4671635,1893122
267268,6658930,2188094,1773,859582,-38399,868555,0,-32435,3730,4672975,1890320
267368,6656370,2187859,1773,858972,-38317,868154,0,-32426,3730,4670377,1893844
267468,6656836,2187817,1773,859132,-38392,868195,0,-32431,3730,4669393,1895320
267568,6656005,2187779,1773,858905,-38370,868091,0,-32426,3729,4670584,1894634
267668,6654142,2187554,1773,858687,-38371,867767,0,-32429,3730,4668967,1893799
267768,6656324,2188059,1773,858886,-38437,868243,0,-32419,3730,4671397,1885981
267868,6658750,2188358,1773,859437,-38496,868678,0,-32423,3731,4671882,1892177
267968,6659645,2188463,1773,859714,-38492,868837,0,-32427,3729,4672852,1890340
268068,6659962,2188692,1773,859667,-38419,868990,0,-32420,3730,4677541,1898736
268168,6658879,2188489,1773,859526,-38663,868771,36678,-32422,3730,4675689,1898580
268268,6661084,2188669,1773,859853,-38683,869136,0,-32421,3730,4673135,1899229
268368,6662879,2189231,1773,860206,-38687,869574,0,-32418,3730,4674696,1905812
268468,6662743,2189161,1773,860183,-38652,869541,0,-32418,3730,4674199,1909302
268568,6662698,2188852,1773,860299,-38650,869408,0,-32427,3729,4674311,1908479
268668,6663851,2189023,1773,860419,-38670,869636,0,-32423,3731,4674837,1902237
268768,6665274,2189231,1773,860716,-38702,869912,0,-32424,3730,4677094,1902441
268868,6664406,2188916,1773,860548,-38708,869676,0,-32426,3730,4675530,1898152
268968,6663081,2188512,1773,860368,-38682,869354,0,-32431,3730,4676058,1900109
269068,6665640,2189167,1773,860617,-38622,869940,0,-32419,3730,4674568,1892545
269168,6666748,2188808,1773,860888,-38761,869938,36721,-32428,3730,4675505,1885430
269268,6664030,2188177,1773,860367,-38672,869340,0,-32431,3729,4673133,1883523
269368,6663780,2188371,1773,860454,-38722,869379,0,-32433,3729,4673782,1883161
269468,6662009,2188363,1773,860094,-38636,869158,0,-32427,3729,4673829,1885186
269568,6662931,2188542,1773,860296,-38709,869368,0,-32427,3729,4674471,1890701
269668,6664431,2188638,1773,860470,-38631,869574,0,-32426,3730,4676226,1885606
269768,6664875,2188671,1773,860545,-38595,869654,0,-32425,3729,4675870,1887220
269868,6662636,2188276,1773,860159,-38540,869213,0,-32426,3730,4673981,1887876
269968,6663684,2188628,1773,860380,-38585,869490,0,-32425,3730,4675720,1894563
270068,6663568,2188730,1773,860241,-38590,869531,0,-32418,3730,4676942,1893700
270168,6666228,2189075,1773,860926,-38582,870003,36722,-32425,3729,4678254,1892874
270268,6663019,2188430,1773,860267,-38606,869328,0,-32426,3730,4676794,1883861
270368,6665174,2188882,1773,860640,-38660,869788,0,-32423,3730,4676196,1887975
270468,6665470,2188826,1773,860680,-38631,869813,0,-32423,3729,4677093,1892084
270568,6664920,2188764,1773,860601,-38688,869713,0,-32424,3730,4675609,1888467
270668,6665272,2188757,1773,860696,-38620,869770,0,-32424,3729,4677928,1884788
270768,6667557,2189126,1773,861161,-38658,870205,0,-32426,3730,4678504,1893692
270868,6667850,2189080,1773,861157,-38637,870256,0,-32424,3730,4678706,1887894
270968,6666772,2188884,1773,861007,-38638,870002,0,-32428,3730,4678343,1892200
271068,6665400,2188529,1773,860834,-38644,869678,0,-32433,3729,4678027,1895103
271168,6665060,2188737,1773,860803,-38646,869723,36740,-32430,3729,4679603,1890954
271268,6663506,2188404,1773,860429,-38600,869396,0,-32428,3730,4676397,1890077
271368,6664310,2188626,1773,860497,-38593,869597,0,-32423,3730,4676936,1888407
271468,6665355,2188716,1773,860836,-38555,869781,0,-32429,3729,4678765,1892688
271568,6664869,2188890,1773,860591,-38531,869773,0,-32420,3729,4679049,1887510
271668,6666390,2189087,1773,860964,-38569,870046,0,-32424,3730,4681225,1890537
271768,6665083,2188712,1773,860774,-38541,869725,0,-32428,3729,4678393,1889379
271868,6666184,2188954,1773,860896,-38587,869967,0,-32424,3729,4680488,1888894
271968,6665896,2189099,1773,860766,-38510,870004,0,-32417,3729,4681357,1890876
272068,6667519,2189143,1773,861160,-38524,870225,0,-32423,3729,4679631,1894034
272168,6667568,2189023,1773,861208,-38509,870194,36738,-32427,3730,4680151,1900566
272268,6666964,2188801,1773,861092,-38601,870004,0,-32429,3730,4680666,1883951
272368,6664826,2188738,1773,860608,-38666,869713,0,-32422,3729,4677884,1888739
272468,6666262,2188881,1773,860946,-38599,869951,0,-32425,3729,4680099,1889665
