t_ms,vrms_raw,irmsa_raw,irmsb_raw,awatt_raw,avar_raw,ava_raw,aenergy_raw,pf_raw,period_raw,vpeak_raw,iapeak_raw
168,6567605,393155,21100,71216,102593,153964,0,15310,3729,480706611518,6778006
611618,6778021,305643,1773,73386,98157,123488,0,19469,3727,4745536,232591
611718,6778420,305665,1773,73383,98167,123506,0,19465,3728,4745150,232089
611818,6778068,305607,1773,73329,98170,123475,0,19456,3727,4744546,232187
611918,6777386,305483,1773,73315,98092,123415,0,19461,3727,4744239,231829
612018,6778840,305511,1773,73334,98125,123451,0,19461,3727,4746375,232328
612118,6779053,305537,1773,73343,98135,123472,0,19460,3727,4745376,232057
612218,6778807,305543,1773,73334,98156,123467,3128,19459,3726,4744220,231957
612318,6778619,305512,1773,73309,98140,123453,0,19454,3727,4744502,232178
612418,6775404,305157,1773,73245,98017,123249,0,19469,3726,4745109,231747
612518,6776664,305286,1773,73276,98027,123324,0,19466,3727,4745153,232238
612618,6777316,305303,1773,73259,98052,123345,0,19458,3726,4745908,231786
612718,6777233,305256,1773,73240,98059,123327,0,19456,3726,4745267,232027
612818,6777393,305249,1773,73231,98037,123326,0,19454,3727,4747689,231952
612918,6777003,305111,1773,73210,98007,123264,0,19458,3727,4743887,231784
613018,6776636,305151,1773,73209,98019,123272,0,19457,3727,4745492,231834
613118,6774675,304981,1773,73171,97959,123167,0,19463,3726,4744807,231393
613218,6776799,305147,1773,73192,97961,123276,3124,19451,3726,4746257,231661
613318,6776800,305224,1773,73203,98000,123313,0,19449,3727,4744129,232064
613418,6779211,305314,1773,73263,98068,123388,0,19453,3727,4746389,231870
613518,6778087,305323,1773,73277,98113,123369,0,19460,3727,4744833,232334
613618,6779372,305433,1773,73302,98114,123438,0,19456,3727,4745737,231924
613718,6780711,305493,1773,73330,98165,123487,0,19455,3727,4746481,232189
613818,6779499,305371,1773,73269,98100,123418,0,19450,3727,4746034,231876
613918,6780439,305565,1773,73356,98164,123511,0,19459,3727,4746714,232160
614018,6780215,305614,1773,73329,98153,123531,0,19449,3726,4744320,231979
614118,6783590,305820,1773,73447,98301,123673,0,19458,3726,4746086,232507
614218,6784482,305766,1773,73437,98324,123666,3126,19457,3727,4748382,232332
614318,6787123,305972,1773,73509,98371,123799,0,19455,3727,4755953,232715
