t_ms,vrms_raw,irmsa_raw,irmsb_raw,awatt_raw,avar_raw,ava_raw,aenergy_raw,pf_raw,period_raw,vpeak_raw,iapeak_raw
36568,6680794,1818835,1773,710166,-46609,724239,0,-32142,3731,4702432,1676572
36668,6681152,1818710,1773,710191,-46526,724239,0,-32143,3731,4701442,1676699
36768,6682400,1818779,1773,710417,-46616,724406,0,-32147,3731,4702896,1681355
36868,6682913,1818786,1773,710564,-46667,724465,0,-32151,3730,4703135,1673836
36968,6681080,1818515,1773,710159,-46621,724166,0,-32145,3731,4702546,1681797
37068,6681591,1818447,1773,710248,-46628,724192,30320,-32147,3730,4703445,1685139
37168,6682362,1818710,1773,710350,-46561,724391,0,-32143,3730,4701039,1688322
37268,6682710,1818419,1773,710350,-46518,724316,0,-32146,3731,4701524,1684759
37368,6680052,1818305,1773,709897,-46513,724001,0,-32140,3730,4699634,1691408
37468,6683031,1818364,1773,710380,-46422,724351,0,-32146,3731,4701933,1681451
37568,6682643,1818335,1773,710329,-46372,724305,0,-32145,3730,4702606,1683064
37668,6679402,1817862,1773,709853,-46276,723753,0,-32147,3731,4699822,1696457
37768,6677037,1817585,1773,709429,-46211,723399,0,-32143,3730,4699708,1684904
37868,6678836,1817811,1773,709612,-46251,723701,0,-32138,3730,4699644,1687658
37968,6681995,1818145,1773,710112,-46265,724180,0,-32140,3730,4701713,1680052
38068,6682675,1817905,1773,710175,-46281,724165,30312,-32143,3730,4701628,1682849
38168,6681342,1817689,1773,710021,-46248,723942,0,-32146,3730,4702490,1687394
38268,6683990,1818104,1773,710341,-46199,724395,0,-32140,3730,4704464,1692615
38368,6682678,1817575,1773,710158,-46169,724025,0,-32147,3730,4704033,1692461
38468,6677798,1816807,1773,709302,-46168,723212,0,-32144,3730,4698702,1685023
38568,6678927,1816892,1773,709488,-46057,723376,0,-32145,3730,4699987,1677247
38668,6680240,1817051,1773,709605,-46098,723594,0,-32141,3730,4700051,1683956
38768,6682901,1817378,1773,710077,-46051,724013,0,-32144,3730,4702530,1683195
38868,6679149,1816320,1773,709502,-45968,723191,0,-32153,3730,4699687,1680820
38968,6683512,1817119,1773,710062,-46070,723966,0,-32144,3730,4705125,1680478
39068,6682331,1816754,1773,709854,-46021,723709,30302,-32145,3730,4702252,1685785
39168,6682168,1816674,1773,709777,-45961,723669,0,-32143,3730,4703193,1679103
39268,6681912,1816618,1773,709728,-45908,723632,0,-32143,3730,4704245,1675404
39368,6681946,1816135,1773,709709,-45877,723446,0,-32150,3730,4701652,1677191
39468,6680553,1816063,1773,709482,-45876,723282,0,-32147,3731,4703176,1680612
39568,6679366,1815853,1773,709356,-45908,723045,0,-32151,3731,4702922,1674865
39668,6680332,1816090,1773,709381,-45864,723261,0,-32142,3731,4703397,1677223
39768,6680924,1815947,1773,709449,-45855,723271,0,-32144,3731,4700124,1682489
39868,6680301,1815953,1773,709360,-45838,723219,0,-32142,3731,4701931,1682489
39968,6683239,1816234,1773,709743,-45902,723649,0,-32140,3730,4703816,1687277
40068,6681882,1816000,1773,709583,-45766,723421,30292,-32142,3731,4705294,1681375
40168,6681268,1815839,1773,709472,-45839,723296,0,-32143,3730,4703177,1679709
40268,6681745,1815985,1773,709516,-45874,723395,0,-32140,3731,4703603,1683284
40368,6684258,1816106,1773,709842,-45952,723712,0,-32141,3730,4703635,1684436
40468,6684255,1816051,1773,709821,-46006,723697,0,-32140,3730,4705118,1687312
40568,6682956,1815765,1773,709628,-45958,723450,0,-32142,3730,4702197,1679560
40668,6682297,1815510,1773,709535,-45942,723277,0,-32144,3730,4702807,1686691
40768,6683642,1815785,1773,709594,-45969,723561,0,-32135,3731,4702718,1691537
40868,6684344,1815640,1773,709673,-45915,723555,0,-32138,3730,4703742,1685967
40968,6684911,1815411,1773,709766,-45923,723522,0,-32144,3730,4704814,1685725
41068,6682927,1814920,1773,709484,-45834,723116,30295,-32148,3731,4701620,1685010
41168,6683511,1814990,1773,709450,-45827,723220,0,-32142,3730,4701057,1683374
41268,6683441,1814873,1773,709448,-45861,723168,0,-32143,3730,4700149,1685174
41368,6683861,1814970,1773,709500,-45821,723281,0,-32141,3730,4704513,1686877
41468,6683163,1814481,1773,709488,-45739,722971,0,-32154,3730,4705088,1680229
