t_ms,vrms_raw,irmsa_raw,irmsb_raw,awatt_raw,avar_raw,ava_raw,aenergy_raw,pf_raw,period_raw,vpeak_raw,iapeak_raw
31868,6748112,1773,1782,107,-185,712,0,-4893,3729,4733909,1217
31968,6747839,1773,1782,100,-192,712,0,-4634,3729,4734314,1139
32068,6747669,1773,1782,99,-212,712,4,-4565,3730,4735954,1159
32168,6748291,1773,1782,71,-216,712,0,-3275,3729,4735448,1111
32268,6750253,1773,1782,90,-176,713,0,-4176,3730,4737944,1135
32368,6750381,1773,1782,109,-202,713,0,-4997,3729,4736705,1155
32468,6750555,1773,1782,72,-203,713,0,-3317,3730,4736080,923
32568,6747041,1773,1782,53,-196,712,0,-2537,3730,4732896,1079
32668,6747799,1773,1782,97,-205,712,0,-4497,3729,4732115,1081
32768,6748507,1773,1782,76,-199,712,0,-3519,3729,4736701,1058
32868,6746292,1773,1782,68,-187,712,0,-3167,3729,4735411,1202
32968,6744152,1773,1782,78,-213,712,0,-3602,3729,4730266,1087
33068,6749552,1773,1782,92,-225,712,3,-4251,3730,4734506,1375
33168,6749681,1773,1782,86,-189,712,0,-3981,3729,4734858,1019
33268,6748644,1773,1782,73,-169,712,0,-3330,3729,4735074,1040
33368,6746188,1773,1782,58,-176,712,0,-2710,3729,4733183,960
33468,6747845,1773,1782,103,-189,712,0,-4792,3730,4733843,1078
33568,6746576,1773,1782,87,-215,712,0,-4046,3729,4734832,1167
33668,6746493,1773,1782,93,-201,712,0,-4279,3729,4733784,1236
33768,6745447,1773,1782,88,-210,712,0,-4096,3728,4733461,1227
33868,6745521,1773,1782,99,-210,712,0,-4587,3729,4732930,1050
33968,6747230,1773,1782,88,-183,712,0,-4109,3729,4732243,947
34068,6746886,1773,1782,84,-163,712,4,-3896,3729,4732452,1198
34168,6745727,1773,1782,90,-171,712,0,-4127,3729,4733092,1129
34268,6748638,1773,1782,90,-193,712,0,-4171,3729,4734919,1004
34368,6748733,1773,1782,87,-194,712,0,-4045,3729,4734584,1023
34468,6751784,1773,1782,75,-189,713,0,-3460,3729,4738321,1267
34568,6749050,1773,1782,80,-204,712,0,-3706,3729,4732570,1229
34668,6747902,1773,1782,57,-181,712,0,-2687,3729,4732505,1205
34768,6747788,1773,1782,87,-180,712,0,-4011,3729,4729822,1129
34868,6747309,1773,1782,81,-177,712,0,-3733,3729,4731542,1324
34968,6745591,1773,1782,72,-206,712,0,-3343,3730,4730849,1012
35068,6743220,1773,1782,71,-170,712,4,-3289,3729,4730657,1061
35168,6745033,1773,1782,78,-224,712,0,-3624,3729,4730106,1243
35268,6745168,1773,1782,85,-203,712,0,-3920,3729,4729695,1163
35368,6746673,1773,1782,76,-199,712,0,-3552,3729,4732873,1137
35468,6744946,1773,1782,96,-190,712,0,-4441,3730,4731071,1148
35568,6746147,1773,1782,78,-179,712,0,-3581,3730,4731535,1074
35668,6748388,1773,1782,63,-176,712,0,-2896,3729,4731743,1165
35768,6748384,1773,1782,78,-176,712,0,-3689,3729,4731803,997
35868,6745856,1773,1782,98,-184,712,0,-4547,3729,4728166,1051
35968,6748219,1773,1782,71,-195,712,0,-3249,3730,4732218,1238
36068,6746529,1773,1782,77,-191,712,3,-3592,3729,4730555,1068
36168,6745407,1773,1782,88,-194,712,0,-4038,3729,4728608,1285
36268,6741884,1773,1782,82,-202,712,0,-3862,3729,4728727,1176
36368,6746262,1773,1782,98,-177,712,0,-4469,3729,4732935,1057
36468,6748108,1773,1782,84,-194,712,0,-3899,3730,4733940,1113
36568,6746620,1773,1782,92,-195,712,0,-4250,3729,4730968,1269
36668,6743654,1773,1782,80,-169,712,0,-3700,3728,4733229,1198
36768,6745974,1773,1782,112,-190,712,0,-5210,3729,4731492,1130
36868,6746771,1773,1782,86,-171,712,0,-3957,3730,4729466,1036
36968,6746364,1773,1782,64,-185,712,0,-2975,3729,4729692,1240
37068,6747183,1773,1782,60,-166,712,4,-2822,3729,4731894,1289
37168,6745843,1773,1782,109,-174,712,0,-4986,3729,4731816,1195
37268,6746354,1773,1782,90,-192,712,0,-4141,3729,4730159,1107
37368,6744759,1773,1782,89,-190,712,0,-4088,3730,4732257,1102
37468,6743671,1773,1782,98,-191,712,0,-4560,3729,4730486,1093
37568,6746033,1773,1782,93,-198,712,0,-4325,3729,4732803,1229
37668,6746557,1773,1782,94,-174,712,0,-4362,3729,4731560,1075
37768,6746455,1773,1782,78,-186,712,0,-3558,3729,4731755,1133
37868,6746993,1773,1782,95,-217,712,0,-4465,3729,4733239,1296
37968,6746915,1773,1782,95,-199,712,0,-4359,3729,4731351,1043
38068,6747002,1773,1782,80,-184,712,4,-3713,3729,4731089,1055
38168,6745525,1773,1782,87,-186,712,0,-4050,3729,4728886,1037
38268,6742982,1773,1782,99,-182,712,0,-4586,3729,4729453,1326
38368,6744570,1773,1782,101,-198,712,0,-4645,3729,4731474,1272
38468,6747026,1773,1782,73,-207,712,0,-3411,3729,4732806,1054
38568,6746667,1773,1782,78,-202,712,0,-3621,3729,4733133,1111
38668,6744085,1773,1782,77,-192,712,0,-3582,3729,4730440,1168
38768,6743079,1773,1782,90,-171,712,0,-4143,3729,4728809,1308
38868,6746856,1773,1782,50,-164,712,0,-2334,3730,4731159,1295
38968,6744263,1773,1782,83,-217,712,0,-3878,3729,4729266,1215
39068,6745856,1773,1782,80,-202,712,3,-3699,3729,4728783,1218
39168,6744220,1773,1782,103,-182,712,0,-4740,3728,4728249,1336
39268,6747718,1773,1782,62,-195,712,0,-2928,3729,4731270,1009
39368,6748553,1773,1782,82,-211,712,0,-3755,3729,4731816,1098
39468,6748452,1773,1782,103,-192,712,0,-4760,3729,4732681,1110
39568,6747529,1773,1782,68,-163,712,0,-3155,3729,4732056,1119
39668,6744617,1773,1782,88,-210,712,0,-4091,3729,4732072,1140
39768,6745452,1773,1782,97,-153,712,0,-4464,3729,4730265,1218
39868,6743819,1773,1782,77,-194,712,0,-3582,3729,4731616,1002
39968,6745813,1773,1782,95,-203,712,0,-4349,3730,4731711,1041
40068,6744606,1773,1782,82,-215,712,4,-3780,3730,4730140,1289
40168,6745817,1773,1782,82,-201,712,0,-3808,3729,4730685,1114
40268,6743989,1773,1782,113,-201,712,0,-5224,3729,4729424,1258
40368,6744518,1773,1782,99,-200,712,0,-4571,3729,4730616,1134
40468,6743080,1773,1782,102,-192,712,0,-4735,3729,4732987,1085
40568,6748033,1773,1782,91,-202,712,0,-4201,3729,4734716,1142
40668,6747834,1773,1782,71,-204,712,0,-3270,3729,4734240,1035
40768,6745755,1773,1782,80,-212,712,0,-3693,3729,4731459,1120
40868,6743445,1773,1782,69,-188,712,0,-3206,3729,4730176,1230
40968,6742313,1773,1782,84,-180,712,0,-3891,3729,4729209,1225
41068,6742565,1773,1782,99,-174,712,4,-4549,3729,4728313,1203
41168,6744710,1773,1782,88,-192,712,0,-4119,3729,4729740,1113
41268,6741171,1773,1782,99,-216,712,0,-4599,3729,4727691,1314
41368,6741335,1773,1782,107,-195,712,0,-4952,3729,4729320,1161
41468,6743389,1773,1782,120,-194,712,0,-5520,3729,4729296,1678
41568,6744088,1773,1782,148,-201,712,0,-6848,3729,4729894,1081
41668,6743567,1773,1782,121,-206,712,0,-5561,3729,4730694,1168
41768,6744135,1773,1782,84,-168,712,0,-3827,3729,4729287,948
41868,6744955,1773,1782,86,-194,712,0,-3998,3729,4729450,1300
41968,6741369,1773,1782,82,-206,712,0,-3796,3729,4727973,1057
