t_ms,vrms_raw,irmsa_raw,irmsb_raw,awatt_raw,avar_raw,ava_raw,aenergy_raw,pf_raw,period_raw,vpeak_raw,iapeak_raw
216068,6661381,2186831,1778,859646,-38685,868171,36729,-32442,3730,4678666,1911522
216168,6661448,2186976,1778,859600,-38726,868245,0,-32437,3729,4678323,1909844
216268,6659972,2186930,1778,859312,-38799,868028,0,-32434,3730,4678154,1913483
216368,6663044,2187421,1778,859940,-38880,868602,0,-32437,3730,4679621,1911080
216468,6663368,2187609,1778,859983,-38784,868741,0,-32434,3730,4682995,1908847
216568,6662362,2187483,1778,859875,-38835,868549,0,-32437,3730,4682373,1909390
216668,6661298,2187417,1778,859666,-38929,868371,0,-32436,3731,4682164,1914431
216768,6661456,2187500,1778,859661,-38952,868416,0,-32434,3731,4682685,1913186
216868,6662235,2187890,1778,859823,-38921,868668,0,-32432,3730,4685846,1912290
216968,6663318,2188317,1778,860017,-39007,868979,0,-32428,3729,4688440,1919959
217068,6663526,2188040,1778,860196,-39058,868874,36699,-32438,3730,4690817,1907398
217168,6660491,2187807,1778,859513,-39094,868418,0,-32429,3730,4689135,1904496
217268,6662673,2188258,1778,859952,-39125,868870,0,-32430,3730,4695300,1905059
217368,6662625,2188112,1778,859943,-39184,868798,0,-32432,3729,4692279,1904575
217468,6662700,2188026,1778,859973,-39102,868756,0,-32435,3730,4692965,1902689
217568,6656301,2187052,1778,858925,-38960,867535,0,-32441,3730,4695776,1898585
217668,6657669,2187677,1778,858971,-39067,867948,0,-32428,3730,4692033,1899308
217768,6656772,2187526,1778,858885,-39143,867796,0,-32430,3730,4692278,1893741
217868,6653162,2186759,1778,858348,-39103,866994,0,-32440,3731,4693402,1907040
217968,6653674,2187114,1778,858182,-39256,867218,0,-32426,3730,4695811,1902163
218068,6655949,2187450,1778,858625,-39405,867633,36679,-32427,3730,4694800,1912746
218168,6656250,2187635,1778,858577,-39277,867758,0,-32421,3730,4692330,1913226
218268,6656892,2187448,1778,858891,-39314,867733,0,-32435,3730,4691506,1909954
218368,6656246,2187485,1778,858592,-39271,867692,0,-32425,3730,4691265,1911771
218468,6657739,2187593,1778,858930,-39257,867915,0,-32429,3730,4692333,1915095
218568,6654907,2187082,1778,858383,-39308,867340,0,-32430,3729,4688972,1905420
218668,6655344,2187080,1778,858480,-39168,867382,0,-32433,3730,4689775,1908678
218768,6650854,2186503,1778,857479,-39165,866589,0,-32424,3730,4687775,1905830
218868,6659122,2188291,1778,859051,-39246,868363,0,-32419,3729,4695174,1905798
218968,6659666,2187895,1778,859205,-39257,868239,0,-32429,3730,4694139,1901558
219068,6661253,2188210,1778,859432,-39330,868616,36646,-32423,3730,4693529,1901347
219168,6659231,2187609,1778,859198,-39325,868103,0,-32434,3729,4692000,1904761
219268,6660235,2187973,1778,859288,-39296,868381,0,-32427,3730,4694364,1906195
219368,6662834,2188268,1778,859777,-39267,868822,0,-32430,3730,4695151,1906194
219468,6661237,2187810,1778,859430,-39244,868430,0,-32431,3729,4695391,1907031
219568,6660890,2187593,1778,859352,-39251,868268,0,-32434,3728,4693722,1904248
219668,6661368,2187927,1778,859361,-39272,868507,0,-32426,3730,4693005,1902984
219768,6661040,2187648,1778,859446,-39303,868332,0,-32436,3730,4692290,1899820
219868,6661291,2187847,1778,859320,-39325,868454,0,-32427,3731,4695485,1896569
219968,6661318,2187616,1778,859360,-39221,868362,0,-32432,3731,4694588,1901893
220068,6661681,2187565,1778,859482,-39263,868375,36681,-32436,3730,4693896,1903847
220168,6661299,2187625,1778,859360,-39270,868349,0,-32433,3730,4693652,1911529
220268,6661270,2187736,1778,859274,-39251,868390,0,-32428,3730,4692946,1901633
220368,6658891,2187124,1778,858938,-39220,867838,0,-32436,3729,4691999,1900476
220468,6661592,2187790,1778,859274,-39239,868471,0,-32426,3729,4695125,1901700
220568,6665056,2188396,1778,860010,-39313,869150,0,-32428,3729,4694938,1905466
220668,6665773,2188305,1778,860183,-39359,869199,0,-32433,3730,4695438,1900305
220768,6664015,2187842,1778,859908,-39349,868773,0,-32440,3730,4697272,1901116
220868,6663951,2188124,1778,859785,-39290,868853,0,-32431,3730,4696535,1900454
220968,6663617,2187979,1778,859671,-39330,868793,0,-32429,3729,4695429,1903047
221068,6661085,2187282,1778,859321,-39312,868169,36689,-32440,3730,4693534,1902001
221168,6659529,2187349,1778,858898,-39328,868010,0,-32430,3730,4693183,1904875
221268,6662763,2187934,1778,859413,-39324,868661,0,-32426,3730,4696628,1906757
221368,6664567,2188120,1778,859810,-39358,868969,0,-32430,3730,4697010,1902758
221468,6664310,2187816,1778,859782,-39343,868807,0,-32435,3731,4697033,1900386
221568,6663518,2187804,1778,859628,-39278,868704,0,-32432,3729,4694821,1906863
221668,6662432,2187626,1778,859435,-39247,868485,0,-32433,3731,4692357,1903649
221768,6662891,2187732,1778,859443,-39286,868596,0,-32430,3731,4693305,1907131
221868,6666012,2188263,1778,860046,-39298,869208,0,-32431,3730,4696636,1911948
221968,6664217,2187882,1778,859754,-39204,868811,0,-32435,3729,4694201,1912722
222068,6662389,2187753,1778,859301,-39232,868534,36688,-32428,3730,4692719,1907658
222168,6661115,2187437,1778,859182,-39240,868220,0,-32434,3730,4691803,1918795
222268,6662469,2187891,1778,859235,-39295,868611,0,-32422,3730,4692492,1903496
222368,6665133,2188043,1778,859853,-39222,869011,0,-32431,3730,4693321,1909405
222468,6664177,2187874,1778,859775,-39193,868804,0,-32436,3729,4695467,1914247
222568,6666619,2188222,1778,860070,-39241,869273,0,-32430,3730,4696013,1907834
222668,6666345,2188193,1778,859972,-39235,869231,0,-32428,3730,4695881,1903113
222768,6667659,2188290,1778,860239,-39339,869402,0,-32431,3729,4697415,1898296
222868,6666713,2188039,1778,860227,-39313,869197,0,-32438,3728,4696649,1907354
222968,6666301,2188039,1778,860047,-39211,869150,0,-32434,3730,4695398,1912171
223068,6667413,2188418,1778,860143,-39202,869461,36697,-32426,3730,4696795,1905612
223168,6666157,2187928,1778,860009,-39231,869092,0,-32435,3729,4695800,1900238
223268,6664238,2187628,1778,859646,-39192,868717,0,-32436,3730,4695008,1907457
223368,6663425,2187604,1778,859358,-39170,868620,0,-32429,3730,4694908,1904182
223468,6667071,2187894,1778,860025,-39093,869193,0,-32432,3729,4697674,1903213
223568,6668187,2188157,1778,860389,-39085,869446,0,-32436,3729,4697661,1904486
223668,6668054,2188076,1778,860302,-39099,869401,0,-32435,3729,4697921,1899051
223768,6668049,2188191,1778,860126,-39104,869470,0,-32426,3730,4699306,1899729
223868,6668063,2188003,1778,860340,-39028,869382,0,-32438,3729,4697545,1898334
223968,6669374,2188193,1778,860547,-39007,869623,0,-32437,3729,4698230,1898839
224068,6668000,2188019,1778,860227,-38956,869347,36706,-32434,3729,4696560,1897541
224168,6665869,2187468,1778,859844,-38820,868887,0,-32436,3729,4695481,1908373
224268,6670401,2188375,1778,860658,-39040,869833,0,-32432,3729,4697260,1913054
224368,6669028,2188069,1778,860481,-39109,869531,0,-32437,3729,4697391,1906599
224468,6668793,2187744,1778,860375,-38956,869369,0,-32440,3729,4694983,1902025
224568,6661745,2186609,1778,859026,-38819,868016,0,-32439,3730,4689276,1901639
224668,6669423,2187959,1778,860463,-38900,869499,0,-32438,3730,4696306,1906207
224768,6669026,2187745,1778,860327,-38837,869407,0,-32436,3729,4691421,1900051
224868,6668199,2187370,1778,860237,-38813,869147,0,-32442,3729,4693576,1898681
224968,6666968,2186965,1778,859994,-38768,868822,0,-32445,3729,4690165,1898231
225068,6667437,2187415,1778,859914,-38780,869080,36710,-32434,3729,4687643,1907824
225168,6667540,2187157,1778,859992,-38729,868988,0,-32440,3729,4687239,1897378
225268,6667206,2187010,1778,859934,-38687,868883,0,-32442,3729,4687720,1896731
225368,6670507,2187545,1778,860557,-38696,869503,0,-32442,3729,4689431,1903333
225468,6668203,2187095,1778,860086,-38565,869052,0,-32440,3730,4689072,1899023
225568,6667672,2186878,1778,860079,-38560,868893,0,-32446,3729,4686116,1896772
225668,6669094,2187189,1778,860297,-38574,869203,0,-32443,3729,4686116,1897048
225768,6668794,2186998,1778,860229,-38470,869083,0,-32446,3730,4686726,1896494
225868,6664753,2186345,1778,859403,-38359,868314,0,-32443,3730,4685463,1901021
225968,6666925,2186794,1778,859860,-38358,868735,0,-32444,3728,4685015,1897718
226068,6668296,2186961,1778,860090,-38466,869008,36701,-32442,3729,4684789,1896041
226168,6667804,2186712,1778,860025,-38411,868844,0,-32446,3729,4684835,1901132
226268,6664095,2186054,1778,859348,-38377,868106,0,-32448,3728,4681957,1897558
226368,6667871,2186756,1778,860024,-38436,868874,0,-32446,3729,4683083,1893661
226468,6666739,2186562,1778,859803,-38397,868652,0,-32446,3729,4691163,1893711
226568,6665120,2186113,1778,859542,-38390,868267,0,-32450,3729,4683992,1891335
226668,6663516,2185985,1778,859275,-38453,868000,0,-32449,3729,4681220,1899372
226768,6664345,2186136,1778,859285,-38378,868178,0,-32443,3729,4683249,1897376
226868,6666911,2186450,1778,859934,-38337,868619,0,-32451,3729,4686651,1892675
226968,6667706,2186550,1778,860013,-38281,868773,0,-32448,3730,4687547,1893708
227068,6667337,2186680,1778,859781,-38407,868792,36690,-32440,3729,4685517,1900580
227168,6669312,2186767,1778,860289,-38401,869067,0,-32449,3729,4686104,1895068
227268,6670168,2187079,1778,860331,-38376,869280,0,-32441,3728,4686360,1899809
227368,6669139,2186657,1778,860301,-38405,868982,0,-32452,3728,4683488,1892907
227468,6665137,2186263,1778,859367,-38404,868335,0,-32440,3729,4683274,1894413
227568,6668716,2186700,1778,860167,-38344,868966,0,-32447,3729,4685659,1889132
227668,6667449,2186101,1778,860016,-38280,868549,0,-32458,3729,4684968,1890254
227768,6667954,2186174,1778,859991,-38225,868650,0,-32453,3728,4682467,1888055
227868,6667430,2186024,1778,859892,-38192,868488,0,-32454,3728,4682785,1886228
227968,6666249,2185688,1778,859681,-38067,868229,0,-32456,3729,4686620,1885116
228068,6665052,2185585,1778,859373,-38027,868040,36695,-32452,3729,4682173,1887764
228168,6666027,2185882,1778,859544,-38105,868289,0,-32449,3728,4683463,1887214
228268,6667309,2186074,1778,859809,-38111,868533,0,-32451,3728,4683667,1883089
228368,6668300,2186332,1778,859929,-38212,868772,0,-32446,3729,4683686,1883955
228468,6669521,2186341,1778,860229,-38120,868930,0,-32452,3729,4685029,1879598
228568,6669636,2186230,1778,860274,-38135,868880,0,-32454,3729,4683888,1880272
228668,6668705,2185920,1778,860110,-38097,868645,0,-32456,3729,4685634,1885062
228768,6669078,2186215,1778,860093,-38250,868813,0,-32450,3728,4681395,1889280
228868,6669082,2186113,1778,860171,-38172,868767,0,-32454,3728,4681635,1884151
228968,6670614,2186595,1778,860479,-38133,869164,0,-32452,3728,4683965,1889009
229068,6670628,2186343,1778,860468,-38182,869063,36694,-32455,3728,4685253,1893964
229168,6667293,2185759,1778,859830,-38158,868358,0,-32456,3729,4680525,1889994
229268,6666353,2185873,1778,859646,-38184,868318,0,-32451,3728,4681227,1889086
229368,6665277,2185628,1778,859470,-38169,868075,0,-32453,3727,4679500,1901448
229468,6665631,2185392,1778,859604,-38086,868020,0,-32460,3728,4680813,1888533
229568,6666323,2185703,1778,859594,-38058,868249,0,-32452,3727,4681087,1889760
229668,6668639,2185870,1778,860088,-38032,868609,0,-32457,3727,4681453,1889543
229768,6669255,2185996,1778,860120,-38042,868713,0,-32453,3728,4683519,1894324
229868,6670523,2186202,1778,860449,-38092,868988,0,-32455,3728,4683648,1898984
229968,6669899,2186145,1778,860367,-37982,868884,0,-32456,3728,4683833,1885303
230068,6672272,2186597,1778,860832,-38138,869363,36690,-32456,3727,4686577,1887131
230168,6670317,2186233,1778,860449,-38185,868962,0,-32457,3728,4681978,1892850
230268,6669178,2186114,1778,860174,-38044,868779,0,-32453,3727,4682287,1886890
230368,6668230,2185671,1778,860123,-37921,868463,0,-32463,3728,4683505,1881631
230468,6669567,2186195,1778,860237,-37994,868841,0,-32452,3728,4685187,1889316
230568,6669759,2186405,1778,860324,-38088,868964,0,-32451,3727,4683695,1883926
230668,6668693,2185986,1778,860159,-38068,868655,0,-32456,3727,4682834,1892398
230768,6668917,2186070,1778,860204,-38060,868711,0,-32456,3728,4684045,1886190
230868,6668662,2186133,1778,860138,-38098,868707,0,-32454,3728,4686399,1882459
230968,6667698,2185806,1778,859896,-37920,868461,0,-32453,3728,4684260,1884560
231068,6668032,2185889,1778,860049,-38089,868493,36699,-32457,3728,4682246,1883541
